OBJECTID,SYSTEMSTOP,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,STATUS,PUBLIC_NAM,POINT_X,POINT_Y
1601,11364.0,"MONTROSE","CLARENDON","WB","NS","78","","CHICAGO",1,"Montrose & Clarendon",-87.64980783,41.9618985
1602,2153.0,"KING DRIVE","49TH STREET","NB","FS","3","","CHICAGO",1,"King Drive & 49th Street",-87.61637553,41.8058546
1603,11051.0,"DIVERSEY","ASHLAND","WB","FS","76","","CHICAGO",1,"Diversey & Ashland",-87.6686134,41.9324671
1604,784.0,"GRAND","ASHLAND","WB","NS","65","","CHICAGO",1,"Grand & Ashland",-87.66695867,41.8910639
1605,4797.0,"FOSTER","BROADWAY","WB","NS","92,146","","CHICAGO",1,"Foster & Broadway",-87.65962002,41.97639787
1606,14814.0,"63RD STREET","KOSTNER","WB","FS","63","N63","CHICAGO",1,"63rd Street & Kostner",-87.73287533,41.77860166
1607,4127.0,"ARMITAGE","KEELER","WB","NS","73","","CHICAGO",1,"Armitage & Keeler",-87.73134201,41.9171637
1608,3227.0,"63RD STREET","STATE","WB","NS","63","N63","CHICAGO",1,"63rd Street & State",-87.62505578,41.78015549
1609,3471.0,"95TH STREET","ASHLAND","WB","FS","95","","CHICAGO",1,"95th Street & Ashland",-87.66319167,41.72130603
1610,9190.0,"51ST STREET","WABASH","WB","NS","15","","CHICAGO",1,"51st Street & Wabash",-87.62405694,41.80210672
1611,10857.0,"75TH STREET","YATES","WB","NS","N5,75","N5","CHICAGO",1,"75th Street & Yates",-87.56625726,41.75904507
1612,12628.0,"ADDISON","FOREST PRESERVE AVENUE","WB","NS","152","","CHICAGO",1,"Addison & Forest Preserve Avenue",-87.82511976,41.94511567
1613,4717.0,"JACKSON","DAMEN","WB","FS","126","","CHICAGO",1,"Jackson & Damen",-87.6768354,41.87755266
1614,10621.0,"55TH STREET","HOMAN","WB","FS","55","N55","CHICAGO",1,"55th Street & Homan",-87.70876054,41.79350033
1615,354.0,"ROOSEVELT","SACRAMENTO","WB","NS","12","","CHICAGO",1,"Roosevelt & Sacramento",-87.70064598,41.86653975
1616,1201.0,"SHERIDAN 6400N","WINTHROP","WB","NS","136,147,151","","CHICAGO",1,"Sheridan & Winthrop",-87.65834886,41.99827386
1617,6888.0,"CERMAK","KOSTNER","WB","NS","21","","CHICAGO",1,"Cermak & Kostner",-87.73431318,41.85157988
1618,7753.0,"PERSHING","INDIANA","WB","FS","39","","CHICAGO",1,"Pershing & Indiana",-87.62185946,41.82384071
1619,65.0,"JACKSON","DESPLAINES","EB","FS","126","","CHICAGO",1,"Jackson & Desplaines",-87.64375065,41.87792686
1620,2287.0,"STATE","76TH STREET","NB","NS","29,75","","CHICAGO",1,"State & 76th Street",-87.62461,41.756267
1621,10184.0,"67TH STREET","COTTAGE GROVE","EB","NS","N5,67","N5","CHICAGO",1,"67th Street & Cottage Grove",-87.60594474,41.77307407
1622,4760.0,"FOSTER","KOSTNER","EB","NS","92","","CHICAGO",1,"Foster & Kostner",-87.73820464,41.97537454
1623,8920.0,"DAMEN","CHICAGO","NB","NS","50","","CHICAGO",1,"Damen & Chicago",-87.676953,41.895844
1624,6259.0,"ASHLAND","CORTLAND","NB","NS","9,X9","","CHICAGO",1,"Ashland & Cortland",-87.66769652,41.916024
1625,2722.0,"79TH STREET","KILPATRICK (west leg)","EB","NT","79","","CHICAGO",1,"79th Street & Kilpatrick",-87.73921536,41.74908609
1626,6748.0,"16TH STREET","SPAULDING","EB","NS","18","","CHICAGO",1,"16th Street & Spaulding",-87.708,41.858997
1627,9429.0,"87TH STREET","STONY ISLAND","EB","FS","87","","CHICAGO",1,"87th Street & Stony Island (Farside)",-87.584817,41.736847
1628,12214.0,"103RD STREET","PRAIRIE","EB","NS","106","","CHICAGO",1,"103rd Street & Prairie",-87.61751556,41.70718436
1629,4040.0,"ARMITAGE","PULASKI","EB","NS","73","","CHICAGO",1,"Armitage & Pulaski",-87.72675397,41.91710599
1630,1976.0,"DIVISION","LONG","EB","NS","70","","CHICAGO",1,"Division & Long",-87.761037,41.902133
1631,11663.0,"TOUHY","MELVINA","EB","NS","85A","","CHICAGO",1,"Touhy & Melvina",-87.78198879,42.01195291
1632,10174.0,"69TH STREET","HARVARD","EB","NS","67","","CHICAGO",1,"69th Street & Harvard",-87.63360386,41.76896271
1633,7134.0,"LAKE PARK","53RD STREET","NB","NS","15,28","","CHICAGO",1,"Lake Park & 53rd Street",-87.58717247,41.79943053
1634,15124.0,"WESTERN","THOMAS","NB","NS","49","N49","CHICAGO",1,"Western & Thomas",-87.68686555,41.90114314
1635,2349.0,"STATE","16TH STREET","NB","NS","29,62","","CHICAGO",1,"State & 16th Street",-87.627155,41.860033
1636,9977.0,"KEDZIE","100TH STREET (south leg)","NB","NS","52A","","EVERGREEN PARK",1,"Kedzie & 100th Street",-87.70138652,41.71095198
1890,4444.0,"ARCHER","BONFIELD (east leg)","NEB","NS","62","N62","CHICAGO",1,"Archer & Bonfield",-87.65633432,41.84233121
1891,7364.0,"EWING","96TH STREET","NB","NS","26,30","","CHICAGO",1,"Ewing & 96th Street",-87.53518532,41.72126776
1892,13021.0,"DORCHESTER","60TH STREET","NB","NS","59","","CHICAGO",1,"Dorchester & 60th Street",-87.59141124,41.78597064
1893,7005.0,"COMMERCIAL","93RD STREET/SOUTH CHICAGO","NB","NS","71","","CHICAGO",1,"Commercial & 93rd Street/South Chicago",-87.55098974,41.7264182
1894,15973.0,"KEDZIE","PINK LINE STATION","NB","MB","52","","CHICAGO",1,"Kedzie Pink Line Station",-87.70523943,41.85411064
1895,17123.0,"HALSTED","32ND STREET (north leg)","SB","FS","8","","CHICAGO",1,"Halsted & 32nd Street",-87.64630716,41.836251
1896,9930.0,"NORTHWEST HWY","OKETO (south leg)","SEB","NS","68","","CHICAGO",1,"Northwest Hwy & Oketo",-87.81180552,41.99989592
1897,4889.0,"MARINE DRIVE","BITTERSWEET/O.D.off ramp","NB","FS","136,146","","CHICAGO",1,"Marine Drive & Bittersweet",-87.64545956,41.95579198
1898,5961.0,"HALSTED","SCHUBERT","NB","NS","8","","CHICAGO",1,"Halsted & Schubert",-87.648914,41.931446
1899,10198.0,"PROMONTORY DR","LaRABIDA HOSPITAL ENT.","NB","MB","67","","CHICAGO",1,"Larabida Hospital",-87.57104235,41.77676671
1900,12866.0,"PULASKI","76TH STREET","SB","FS","53A","","CHICAGO",1,"Pulaski & 76th Street",-87.72230992,41.7548157
1901,8835.0,"DAMEN","BELMONT","SB","NS","50","","CHICAGO",1,"Damen & Belmont",-87.678421,41.93965
1902,7237.0,"SOUTH CHICAGO","79TH STREET/STONY ISLAND","SEB","NS","30","","CHICAGO",1,"South Chicago & 79th Street/Stony Island",-87.58621132,41.7518023
1903,9800.0,"HIGGINS","CENTRAL/EDMUNDS","NWB","NS","88","","CHICAGO",1,"Higgins & Central/Edmunds",-87.76726546,41.97031921
1904,8884.0,"DAMEN","18TH STREET","SB","NS","50","","CHICAGO",1,"Damen & 18th Street",-87.67608521,41.85774894
1905,5172.0,"RACINE","59TH STREET","SB","NS","44","","CHICAGO",1,"Racine & 59th Street",-87.65477982,41.7870318
1906,12042.0,"TOUHY","CALIFORNIA","EB","NS","96","","CHICAGO",1,"Touhy & California",-87.69982335,42.01197422
1907,1375.0,"LELAND","WESTERN","EB","FS","11,49B","N49","CHICAGO",1,"Leland & Western (Brown Line)",-87.68836263,41.96663176
1908,1992.0,"DIVISION","HAMLIN","EB","NS","70","","CHICAGO",1,"Division & Hamlin",-87.721533,41.90265
1909,14647.0,"MADISON","MORGAN","EB","FS","20","N20","CHICAGO",1,"Madison & Morgan",-87.65191235,41.88165169
1910,1011.0,"HOWARD","SHERIDAN","EB","NS","147","0","CHICAGO",1,"Howard & Sheridan",-87.66617692,42.01919502
1911,18106.0,"LAWRENCE","PULASKI","EB","FS","81","N81","CHICAGO",1,"Lawrence & Pulaski",-87.72780483,41.96817665
1912,10509.0,"55TH STREET","HOMAN","EB","FS","55","N55","CHICAGO",1,"55th Street & Homan",-87.70822019,41.79338132
1913,3429.0,"63RD STREET","YALE","EB","NS","63","N63","CHICAGO",1,"63rd Street & Yale",-87.631904,41.77988
1914,3746.0,"LAWRENCE","KIMBALL","EB","FS","81","N81","CHICAGO",1,"Lawrence & Kimball (Brown Line)",-87.7130492,41.96833126
1915,15330.0,"79TH STREET","MORGAN","EB","FS","79","N79","CHICAGO",1,"79th Street & Morgan",-87.64861433,41.75050698
